Eirodynoir Plot Results:
crit_rating, DPS, DPS-Error
620, 122,884, 355.633
630, 123,136, 357.379
640, 123,373, 357.265
650, 123,553, 357.68
660, 123,758, 360.38
670, 124,024, 355.841
680, 124,220, 360.044
690, 124,474, 361.959
700, 124,662, 358.67
710, 124,886, 362.475
720, 125,203, 361.887
730, 125,381, 363.6
740, 125,587, 363.538
750, 125,754, 362.433
760, 126,059, 368.922
770, 126,255, 366.389
780, 126,486, 364.866
790, 126,685, 367.8
800, 126,921, 369.63
810, 127,164, 368.63
820, 127,386, 369.988
830, 127,555, 370.537
840, 127,799, 372.406
850, 127,993, 370.99
860, 128,218, 372.133
870, 128,429, 372.782
880, 128,634, 374.248
890, 128,835, 371.999
900, 129,044, 374.071
910, 129,238, 375.57
920, 129,460, 377.881
930, 129,682, 377.89
940, 129,879, 376.413
950, 130,062, 378.344
960, 130,284, 379.953
970, 130,495, 381.386
980, 130,716, 377.231
990, 130,857, 380.418
1,000, 131,098, 379.391
1,010, 131,288, 380.553
1,020, 131,546, 382.934
1,030, 131,760, 383.652
1,040, 131,959, 383.785
1,050, 132,139, 383.479
1,060, 132,377, 385.381
1,070, 132,549, 385.631
1,080, 132,796, 385.34
1,090, 133,022, 386.53
1,100, 133,175, 387.233
1,110, 133,409, 389.609
1,120, 133,603, 389.455
1,130, 133,836, 392.508
1,140, 134,015, 389.996
1,150, 134,226, 390.069
1,160, 134,448, 392.149
1,170, 134,656, 393.159
1,180, 134,855, 390.538
1,190, 135,075, 394.379
1,200, 135,281, 391.634
1,210, 135,475, 392.915
1,220, 135,685, 395.199
1,230, 135,884, 396.652
1,240, 136,093, 396.215
1,250, 136,287, 398.957
1,260, 136,522, 399.242
1,270, 136,724, 398.212
1,280, 136,909, 401.353
1,290, 137,119, 398.596
1,300, 137,319, 400.46
1,310, 137,482, 402.42
1,320, 137,624, 401.7
1,330, 137,884, 404.752
1,340, 138,081, 403.097
1,350, 138,257, 404.72
1,360, 138,433, 404.065
1,370, 138,681, 403.302
1,380, 138,819, 405.216
1,390, 139,018, 404.155
1,400, 139,197, 406.477
1,410, 139,395, 409.07
1,420, 139,598, 409.153
1,430, 139,785, 409.72
1,440, 139,984, 410.242
1,450, 140,144, 411.558
1,460, 140,345, 408.195
1,470, 140,548, 410.912
1,480, 140,744, 412.59
1,490, 140,912, 411.325
1,500, 141,112, 412.926

versatility_rating, DPS, DPS-Error
0, 109,455, 109.366
10, 109,349, 314.08
20, 109,566, 315.241
30, 109,762, 315.29
40, 109,982, 315.618
50, 110,163, 316.404
60, 110,373, 318.165
70, 110,598, 315.023
80, 110,789, 319.045
90, 110,958, 318.372
100, 111,130, 313.706
110, 111,393, 318.431
120, 111,614, 318.268
130, 111,770, 318.724
140, 112,021, 319.008
150, 112,217, 320.535
160, 112,389, 323.069
170, 112,557, 323.471
180, 112,808, 323.191
190, 113,028, 324.053
200, 113,220, 324.948
210, 113,416, 325.275
220, 113,627, 326.368
230, 113,814, 326.129
240, 114,049, 327.898
250, 114,194, 326.93
260, 114,406, 327.727
270, 114,634, 327.683
280, 114,839, 328.079
290, 115,021, 330.006
300, 115,205, 329.454
310, 115,399, 329.595
320, 115,633, 331.898
330, 115,791, 331.577
340, 116,017, 333.146
350, 116,247, 334.53
360, 116,434, 333.673
370, 116,647, 333.97
380, 116,851, 336.407
390, 117,060, 336.876
400, 117,251, 336.787
410, 117,422, 337.457
420, 117,676, 337.451
430, 117,873, 339.886
440, 118,087, 341.725
450, 118,256, 340.828
460, 118,471, 337.688
470, 118,679, 341.188
480, 118,856, 342.065
490, 119,068, 341.453
500, 119,251, 339.544
510, 119,472, 343.421
