逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
1,460, 91,230.7, 210.625
1,470, 91,211.4, 212.223
1,480, 91,513.4, 210.142
1,490, 91,489.4, 229.842
1,500, 91,611, 235.184

mastery_rating, DPS, DPS-Error
0, 74,854, 72.7687
10, 74,986.8, 198.688
20, 75,237.5, 219.193
30, 75,309.4, 213.1
40, 75,432.4, 205.696
50, 75,563.5, 209.996
60, 75,731.9, 218.128
70, 75,830.4, 208.962
80, 75,984.7, 212.682
90, 76,087.1, 209.646
100, 76,316.6, 217.439
110, 76,381.6, 214.442
120, 76,535.3, 213.321
130, 76,694, 209.641
140, 76,826.2, 215.503
150, 76,924.9, 205.188
160, 77,095.4, 215.932
170, 77,244.9, 216.148
180, 77,422.9, 229.139
190, 77,592.9, 224.01
200, 77,725.7, 218.706
210, 77,795.5, 212.105
220, 77,966.9, 214.26
230, 78,072, 221.858
240, 78,302.8, 222.486
250, 78,415.5, 222.591
260, 78,473.9, 210.763
270, 78,611.9, 217.354
280, 78,864.8, 224.006
290, 78,901, 213.472
300, 79,059.6, 219.601
310, 79,207.2, 213.264
320, 79,405.5, 227.649
330, 79,538.1, 222.215
340, 79,665.9, 229.948
350, 79,777.3, 227.868
360, 79,962.4, 227.143
370, 80,120.7, 223.668
380, 80,254.8, 227.634
390, 80,411.3, 233.556
400, 80,485.6, 216.925
410, 80,668.1, 226.87
420, 80,850.1, 229.527
430, 80,944.6, 230.752
440, 81,026, 225.964
450, 81,254.8, 232.653
460, 81,369, 233.359
470, 81,481.6, 228.582
480, 81,593.2, 231.797
490, 81,761.2, 229.311
500, 81,931, 240.649
510, 82,069.5, 237.613
520, 82,248.7, 231.452
530, 82,391.6, 238.154
540, 82,492.2, 232.877
550, 82,620.8, 238.073
560, 82,759.5, 235.305
570, 82,895.7, 236.876
580, 83,067, 234.691
590, 83,257.4, 241.236
600, 83,279, 232.253
610, 83,496.1, 241.79
620, 83,716.3, 236.922
630, 83,651.6, 226.469
640, 84,011.8, 182.536
650, 84,135.9, 185.725
660, 84,216.6, 246.118
670, 84,350.6, 243.421
680, 84,499.3, 246.791
690, 84,561.2, 242.132
700, 84,823.8, 245.325
710, 84,907.5, 245.11
720, 85,038.3, 247.622
730, 85,214.7, 248.662
740, 85,305.5, 247.577
750, 85,419.1, 239.368
760, 85,633.9, 242.671
770, 85,779.2, 240.077
780, 85,877.2, 248.488
790, 86,039.3, 249.606
800, 86,177.9, 245.914
810, 86,413, 248.411
820, 86,454.9, 241.367
830, 86,612.6, 249.381
840, 86,732.2, 254.211
850, 86,917.7, 263.306
860, 87,014.7, 252.621
870, 87,102.1, 253.338
880, 87,274.5, 251.129
890, 87,461.9, 261.847
900, 87,582.9, 258.658
910, 87,662.9, 248.146
920, 87,799.4, 246.578
930, 87,995.6, 249.913
940, 88,168.4, 263.175
950, 88,273.4, 251.795
960, 88,328.8, 254.048
970, 88,579.9, 253.787
980, 88,749.4, 256.804
990, 88,849.3, 259.927
1,000, 88,963.6, 253.512
1,010, 89,204.6, 263.703
1,020, 89,229.7, 262.774
1,030, 89,380.8, 251.797
1,040, 89,549.9, 259.961
1,050, 89,729.5, 268.762
1,060, 89,777.7, 256.651
1,070, 90,079.1, 205.788
1,080, 90,208, 200.232
1,090, 90,294.8, 264.973
1,100, 90,407.2, 262.43
1,110, 90,542, 270.528
1,120, 90,776.6, 203.398
1,130, 90,911.1, 270.244
1,140, 91,002, 259.007
1,150, 91,114.3, 271.521
1,160, 91,250.2, 272.22
1,170, 91,334.4, 262.51
1,180, 91,631.3, 208.421
1,190, 91,741.2, 277.719
1,200, 91,826.6, 273.307
1,210, 91,944.6, 265.448
1,220, 92,122.1, 267.391
1,230, 92,311, 209.926
1,240, 92,404.7, 272.809
1,250, 92,526.9, 279.914
1,260, 92,607, 276.115
1,270, 92,753, 280.373
1,280, 92,970.8, 212.514
1,290, 92,976.3, 275.057
1,300, 93,226.7, 215.102
1,310, 93,321, 283.684
1,320, 93,486, 210.425
1,330, 93,616.2, 218.402
1,340, 93,712.4, 210.304
1,350, 93,741.5, 280.402
1,360, 93,849.9, 274.832
1,370, 94,124.9, 214.257
1,380, 94,122.5, 282.904
1,390, 94,369.2, 212.814
1,400, 94,370.1, 274.36
1,410, 94,632.1, 217.928
1,420, 94,712.1, 213.686
1,430, 94,815.3, 287.128
1,440, 94,947.5, 283.72
1,450, 95,035.4, 276.279
1,460, 95,162, 284.151
1,470, 95,324.3, 289.202
1,480, 95,382.2, 283.555
1,490, 95,639, 216.389
1,500, 95,788.9, 221.911

versatility_rating, DPS, DPS-Error
0, 74,854, 72.7687
10, 75,012, 212.003
20, 75,163.5, 209.71
30, 75,232.2, 209.125
40, 75,442.1, 195.031
50, 75,479.4, 209.91
60, 75,680.2, 214.234
70, 75,753.2, 204.043
80, 75,904.3, 212.934
90, 76,033.3, 212.869
100, 76,198.9, 211.417
110, 76,282, 210.432
120, 76,386.4, 216.411
130, 76,544.4, 211.267
140, 76,692.1, 213.394
150, 76,822.5, 215.099
160, 76,912.9, 207.597
170, 76,996.7, 217.704
180, 77,169.7, 216.951
190, 77,366.8, 222.623
200, 77,489.7, 208.684
210, 77,638.6, 219.46
220, 77,705.6, 209.412
230, 77,846, 218.854
240, 78,010.4, 221.974
250, 78,128.1, 221.138
260, 78,217.9, 222.223
270, 78,304.1, 215.42
280, 78,501.5, 213.271
290, 78,655.7, 227.981
300, 78,798.3, 219.733
310, 78,894.2, 213.042
320, 79,025.7, 219.532
330, 79,113.7, 219.352
340, 79,237.3, 206.32
350, 79,393.6, 210.492
360, 79,508.1, 218.709
370, 79,683.7, 222.721
380, 79,791.4, 218.794
390, 79,921.2, 219.899
400, 80,044, 219.994
410, 80,194, 226.182
420, 80,269.2, 216.478
430, 80,490.7, 215.487
440, 80,599.6, 230.022
450, 80,722, 230.462
460, 80,840.2, 225.785
470, 81,000, 230.072
480, 81,128.8, 227.058
490, 81,202.6, 224.032
500, 81,384.3, 227.912
510, 81,535.5, 236.972
520, 81,638.4, 238.724
530, 81,785.2, 224.844
540, 81,816.6, 220.87
550, 82,000.6, 227.088
560, 82,151.5, 231.356
570, 82,300.3, 229.544
580, 82,421.7, 225.498
590, 82,600.5, 234.257
600, 82,635.5, 228.118
610, 82,745.1, 225.631
620, 82,857.6, 221.021
630, 83,053.5, 223.495
640, 83,182.3, 227.073
650, 83,317.4, 231.207
660, 83,436.9, 234.517
670, 83,536.7, 224.117
680, 83,758.3, 227.037
690, 83,837.2, 231.87
700, 83,976.4, 236.014
710, 84,093.9, 233.948
720, 84,202.5, 237.029
730, 84,386.3, 238.745
740, 84,569.3, 179.384
750, 84,615.7, 235.257
760, 84,724.9, 226.596
770, 84,904.4, 239.019
780, 84,995, 234.663
790, 85,095.2, 231.98
800, 85,254.6, 229.851
810, 85,385, 230.848
820, 85,563.9, 241.885
830, 85,646.5, 231.933
840, 85,722.7, 222.056
850, 85,864.4, 230.438
860, 86,050.8, 240.204
870, 86,104.3, 229.943
880, 86,339.6, 245.004
890, 86,397.7, 239.524
900, 86,536.9, 234.534
910, 86,666.1, 245.689
920, 86,852.5, 244.365
930, 86,971.9, 240.368
940, 87,088.4, 252.303
950, 87,224.6, 241.332
960, 87,401.9, 254.396
970, 87,458.5, 242.609
980, 87,621.1, 249.25
990, 87,776.9, 246.879
1,000, 87,836.4, 238.606
1,010, 88,004.1, 241.161
1,020, 88,128.4, 240.574
1,030, 88,237.5, 250.895
1,040, 88,351.8, 245.485
1,050, 88,435, 238.17
1,060, 88,642.1, 252.422
1,070, 88,791.8, 242.046
1,080, 88,831.1, 241.826
1,090, 88,989.2, 236.979
1,100, 89,162.4, 250.608
1,110, 89,272.6, 256.843
1,120, 89,392.9, 238.884
1,130, 89,566.9, 249.417
1,140, 89,621.5, 248.086
1,150, 89,813.9, 248.31
1,160, 89,852.9, 237.553
1,170, 90,051.2, 251.977
1,180, 90,137.2, 251.791
1,190, 90,321.1, 253.501
1,200, 90,515.4, 256.197
1,210, 90,619.4, 256.52
1,220, 90,716, 252.142
1,230, 90,862.5, 254.807
1,240, 90,982.1, 249.516
1,250, 91,063.1, 258.651
1,260, 91,316.9, 258.326
1,270, 91,382.6, 261.38
1,280, 91,501.1, 251.676
1,290, 91,643.3, 255.734
1,300, 91,802.6, 262.22
1,310, 91,859.4, 258.096
1,320, 92,059.6, 261.436
1,330, 92,132.8, 265.289
1,340, 92,290.9, 259.842
1,350, 92,379.5, 256.853
1,360, 92,540.5, 262.767
1,370, 92,653.2, 259.925
1,380, 92,833, 258.87
1,390, 92,900.5, 258.682
1,400, 93,021.5, 251.264
1,410, 93,255.2, 268.167
1,420, 93,330.2, 262.562
1,430, 93,482, 262.659
1,440, 93,541.4, 253.359
1,450, 93,663.6, 263.102
1,460, 93,822.4, 265.6
1,470, 93,980.6, 260.677
1,480, 94,073, 262.375
1,490, 94,248.4, 264.441
1,500, 94,326, 260.949

