逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
50, 30550, 89.5235
60, 30614.5, 90.0638
70, 30670.1, 89.4258
80, 30720.6, 90.8628
90, 30797, 90.3682
100, 30843.8, 91.276
110, 30894.4, 90.3201
120, 30948.1, 91.9388
130, 31006.1, 91.6087
140, 31058.1, 91.1354
150, 31118.6, 91.3331
160, 31181.3, 91.7835
170, 31233, 91.7319
180, 31277.1, 92.3398
190, 31328.1, 92.109
200, 31389.5, 92.314
210, 31480.1, 93.1261
220, 31522.1, 93.0125
230, 31559.1, 93.4035
240, 31623.3, 93.5476
250, 31666.9, 94.3165
260, 31727, 93.9813
270, 31793.6, 93.3233
280, 31830.7, 93.7346
290, 31899.2, 93.8444
300, 31960.2, 94.2343
310, 32007.5, 94.2035
320, 32057.9, 94.7192
330, 32105.8, 94.2045
340, 32183.6, 94.9164
350, 32240, 95.3857
360, 32272.6, 95.3444
370, 32338.7, 95.4814
380, 32416.3, 95.5937
390, 32459, 92.054
400, 32506.8, 95.4331
410, 32576.4, 95.6393
420, 32618.5, 95.5733
430, 32668.5, 95.5598
440, 32728.4, 95.9729
450, 32784.1, 96.0232
460, 32840, 96.4808
470, 32914, 96.9753
480, 32953.5, 97.2146
490, 33021.8, 96.6668
500, 33070.7, 97.4446
510, 33111, 97.1855
520, 33181.2, 97.2284
530, 33226.8, 97.6678
540, 33293.8, 98.2688
550, 33345.9, 97.9137
560, 33404.6, 98.3732
570, 33453.7, 98.0997
580, 33514.2, 98.4243
590, 33558.6, 99.4697
600, 33618.7, 98.3922
610, 33688.4, 98.6036
620, 33732.9, 99.0289
630, 33799.9, 99.1914
640, 33880.2, 96.3549
650, 33902.2, 99.8156
660, 33989, 96.1758
670, 34043.3, 101.644
680, 34083.8, 100.572
690, 34141.8, 100.709
700, 34196.3, 101.033
710, 34231.9, 100.513
720, 34297.8, 100.659
730, 34343.9, 101.231
740, 34408.4, 100.708
750, 34462, 101.127
760, 34502.4, 101.683
770, 34581.6, 101.336
780, 34622.9, 101.287
790, 34667.2, 102.085
800, 34744.6, 102.343
810, 34810.7, 102.114
820, 34850.3, 102.881
830, 34905.5, 101.557
840, 34968, 102.215
850, 35036.9, 103.166
860, 35092.6, 103.095
870, 35162, 104.03
880, 35204, 103.794
890, 35257.5, 103.835
900, 35310.4, 103.88
910, 35358.3, 103.303
920, 35395.3, 103.869
930, 35451.4, 103.935
940, 35516.9, 104.264
950, 35584.2, 104.578
960, 35615.9, 105.06
970, 35687.7, 104.791
980, 35746.7, 104.657
990, 35782.9, 104.788
1000, 35859.5, 105.715
1010, 35910.9, 105.076
1020, 35965.7, 105.655
1030, 36024.3, 105.374
1040, 36076.8, 105.946
1050, 36128.1, 106.159
1060, 36193.2, 106.564
1070, 36242.4, 105.779
1080, 36304.1, 106.35
1090, 36365.1, 106.572
1100, 36399.5, 107.516
1110, 36463.6, 106.602
1120, 36536.9, 108.292
1130, 36579, 107.322
1140, 36663.8, 107.621
1150, 36688.8, 108.791
1160, 36747.5, 107.377
1170, 36817.8, 109.04
1180, 36864.2, 109.963
1190, 36928.6, 109.787
1200, 37008.1, 110.334
1210, 37038.8, 108.537
1220, 37084.5, 108.894
1230, 37147.1, 109.2
1240, 37185, 109.451
1250, 37246.8, 109.524
1260, 37303.2, 109.677
1270, 37361.9, 109.659
1280, 37425.1, 109.341
1290, 37457.3, 110.382
1300, 37535.4, 110.382
1310, 37576, 110.372
1320, 37644.9, 110.646
1330, 37703.2, 110.662
1340, 37746.3, 110.364
1350, 37801, 110.76
1360, 37861.7, 111.314
1370, 37914.3, 110.652
1380, 37990.2, 111.193
1390, 38040.2, 111.999
1400, 38096, 111.676
1410, 38147.9, 112.111
1420, 38200.6, 111.744
1430, 38265.4, 112.639
1440, 38327.5, 112.547
1450, 38382, 112.936
1460, 38427.1, 112.749
1470, 38504, 113.147
1480, 38584.7, 114.817
1490, 38596.6, 112.741
1500, 38650, 113.639

