铃兰圣礼 Plot Results:
crit_rating, DPS, DPS-Error
1,280, 88,794.2, 259.662
1,290, 88,919.3, 261.446
1,300, 89,013.8, 262.65
1,310, 89,175.3, 262.106
1,320, 89,267.1, 261.847
1,330, 89,415.4, 264.394
1,340, 89,575.8, 263.256
1,350, 89,644.8, 264.409
1,360, 89,834.5, 263.501
1,370, 89,991.7, 263.195
1,380, 90,013.9, 265.189
1,390, 90,158.4, 263.622
1,400, 90,324.2, 267.36
1,410, 90,403.3, 267.932
1,420, 90,568.4, 267.854
1,430, 90,691.6, 266.678
1,440, 90,851.1, 267.198
1,450, 91,006.6, 267.072
1,460, 91,080.1, 267.223
1,470, 91,282.5, 269.02
1,480, 91,354, 266.51
1,490, 91,429.1, 268.926
1,500, 91,605.7, 272.144

