逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
950, 53,806.3, 153.429
960, 53,913.9, 156.831
970, 53,966.1, 155.611
980, 54,033.3, 154.67
990, 54,102.8, 155.236
1,000, 54,179.2, 155.778
1,010, 54,255.3, 156.156
1,020, 54,333.1, 155.627
1,030, 54,417.9, 156.206
1,040, 54,481.8, 158.493
1,050, 54,531.2, 159.361
1,060, 54,610.1, 156.875
1,070, 54,684.1, 157.03
1,080, 54,766.1, 156.784
1,090, 54,798.9, 157.105
1,100, 54,912.7, 156.681
1,110, 55,002.3, 157.256
1,120, 55,070.9, 158.216
1,130, 55,106, 159.394
1,140, 55,184.5, 158.31
1,150, 55,288.6, 158.701
1,160, 55,307.8, 159.666
1,170, 55,392.5, 158.839
1,180, 55,482.2, 157.998
1,190, 55,526.6, 160.244
1,200, 55,572, 160.064
1,210, 55,679.8, 161.38
1,220, 55,695.5, 160.84
1,230, 55,786, 160.567
1,240, 55,853, 161.026
1,250, 55,915.7, 162.045
1,260, 55,978.9, 161.474
1,270, 56,053.7, 162.759
1,280, 56,132, 162.247
1,290, 56,175.8, 161.799
1,300, 56,245.5, 161.355
1,310, 56,339.7, 161.737
1,320, 56,399.6, 162.108
1,330, 56,441.3, 163.383
1,340, 56,515, 163.25
1,350, 56,612.4, 162.826
1,360, 56,647.2, 164.132
1,370, 56,717.3, 165.899
1,380, 56,792.7, 163.07
1,390, 56,848.4, 164.529
1,400, 56,915.6, 165.429
1,410, 56,983.6, 163.68
1,420, 57,054.1, 166.361
1,430, 57,122.5, 164.057
1,440, 57,141.8, 165.992
1,450, 57,225.1, 164.955
1,460, 57,314.6, 165.718
1,470, 57,384.2, 166.375
1,480, 57,449.2, 165.667
1,490, 57,503.3, 166.198
1,500, 57,602, 168.768

versatility_rating, DPS, DPS-Error
0, 46,605.6, 46.2792
10, 46,681, 131.144
20, 46,775.7, 131.161
30, 46,834.7, 138.28
40, 46,884.2, 139.055
50, 46,959.7, 139.605
60, 47,039, 139.426
70, 47,136.8, 133.354
80, 47,178.7, 140.296
90, 47,290.7, 139.985
100, 47,345.5, 139.517
110, 47,379.3, 140.668
120, 47,471.6, 141.061
130, 47,532, 139.845
140, 47,592.6, 140.629
150, 47,686, 141.684
160, 47,764.3, 141.246
170, 47,826.6, 141.079
180, 47,917.2, 141.333
190, 47,962.9, 143.026
200, 48,043.3, 142.466
210, 48,123.5, 140.728
220, 48,203, 143.458
230, 48,256.6, 143.173
240, 48,327.6, 136.589
250, 48,381.1, 144.597
260, 48,504, 142.513
270, 48,540, 145.161
280, 48,643, 135.767
290, 48,703.7, 144.01
300, 48,745.9, 145.441
310, 48,865.2, 136.18
320, 48,918.1, 145.062
330, 49,002, 144.831
340, 49,063.7, 145.634
350, 49,146.2, 137.706
360, 49,177.7, 145.886
370, 49,261.6, 147.463
380, 49,348.3, 138.653
390, 49,420.5, 138.611
400, 49,498.3, 147.043
410, 49,563.5, 146.737
420, 49,601.4, 147.549
430, 49,684.4, 147.981
440, 49,743.9, 147.986
450, 49,868.8, 140.22
460, 49,927.2, 147.511
470, 49,988.3, 148.715
480, 50,057.7, 148.812
490, 50,120.5, 140.076
500, 50,195.1, 148.609
510, 50,302.5, 141.578
520, 50,355.2, 150.04
530, 50,443.6, 141.556
540, 50,473.5, 150.623
550, 50,568.9, 151.32
560, 50,672.9, 143.07
570, 50,718.7, 149.476
580, 50,779.3, 150.574
590, 50,865.2, 143.148
600, 50,916, 151.025
610, 51,022.3, 151.001
620, 51,091.7, 151.684
630, 51,197.9, 151.185
640, 51,236.4, 144.574
650, 51,333.2, 143.366
660, 51,368.1, 152.914
670, 51,435.4, 153.748
680, 51,551, 144.127
690, 51,588.7, 153.02
700, 51,656.9, 152.846
710, 51,679.9, 153.763
720, 51,791.2, 153.935
730, 51,872, 154.36
740, 51,933.3, 154
750, 52,044.2, 146.343
760, 52,080.9, 154.53
770, 52,146.9, 155.613
780, 52,227, 154.585
790, 52,307.8, 155.623
800, 52,346.6, 155.675
810, 52,453.5, 147.617
820, 52,508.2, 156.815
830, 52,619, 156.716
840, 52,687.3, 148.194
850, 52,754.7, 148.582
860, 52,789.3, 147.358
870, 52,857.7, 158.105
880, 52,969.3, 148.969
890, 53,032.9, 157.945
900, 53,123.6, 150.699
910, 53,167.2, 150.649
920, 53,257.3, 157.608
930, 53,311.2, 151.112
940, 53,398.6, 149.76
950, 53,434.9, 158.982
960, 53,521.9, 150.452
970, 53,597.6, 158.699
980, 53,675.9, 151.778
990, 53,739.5, 151.418
1,000, 53,796.9, 160.688
1,010, 53,877.8, 160.22
1,020, 53,968, 152.887
1,030, 54,026, 160.712
1,040, 54,133.8, 153.127
1,050, 54,192.6, 152.924
1,060, 54,243.8, 160.911
1,070, 54,332.4, 153.004
1,080, 54,412, 154.019
1,090, 54,465, 153.94
1,100, 54,558.1, 155.021
1,110, 54,626.5, 153.686
1,120, 54,682, 154.461
1,130, 54,750.4, 155.067
1,140, 54,828.8, 156.189
1,150, 54,883.1, 163.198
1,160, 54,975.2, 155.287
1,170, 55,040.1, 154.729
1,180, 55,138.8, 158.608
1,190, 55,228, 155.692
1,200, 55,247.6, 156.461
1,210, 55,330.9, 163.998
1,220, 55,413.9, 156.663
