逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
790, 135,082, 384.36
800, 135,311, 382.071
810, 135,493, 384.34
820, 135,666, 387.428
830, 135,902, 384.048
840, 136,121, 385.529
850, 136,310, 388.973
860, 136,548, 386.789
870, 136,753, 386.862
880, 136,955, 389.059
890, 137,113, 389.843
900, 137,369, 390.285
910, 137,537, 388.944
920, 137,797, 390.711
930, 137,987, 392.903
940, 138,232, 393.487
950, 138,410, 391.064
960, 138,585, 395.843
970, 138,805, 393.547
980, 139,013, 392.704
990, 139,206, 395.67
1,000, 139,418, 394.547
1,010, 139,606, 397.843
1,020, 139,800, 398.912
1,030, 140,067, 396.031
1,040, 140,264, 397.477
1,050, 140,439, 398.019
1,060, 140,663, 398.399
1,070, 140,830, 402.04
1,080, 141,087, 399.294
1,090, 141,212, 397.909
1,100, 141,492, 401.055
1,110, 141,697, 400.829
1,120, 141,935, 402.754
1,130, 142,164, 406.222
1,140, 142,350, 404.979
1,150, 142,488, 404.671
1,160, 142,687, 404.508
1,170, 142,970, 405.233
1,180, 143,140, 404.616
1,190, 143,337, 407.838
1,200, 143,612, 408.876
1,210, 143,761, 406.555
1,220, 143,958, 408.795
1,230, 144,159, 409.729
1,240, 144,360, 410.498
1,250, 144,582, 414.734
1,260, 144,769, 409.72
1,270, 145,016, 408.612
1,280, 145,232, 412.933
1,290, 145,432, 412.064
1,300, 145,610, 413.07
1,310, 145,795, 415.58
1,320, 146,058, 416.278
1,330, 146,255, 418.816
1,340, 146,466, 414.237
1,350, 146,653, 418.654
1,360, 146,871, 418.442
1,370, 147,110, 417.551
1,380, 147,302, 415.861
1,390, 147,478, 420.905
1,400, 147,680, 417.702
1,410, 147,906, 420.207
1,420, 148,107, 422.505
1,430, 148,328, 419.879
1,440, 148,540, 423.175
1,450, 148,711, 425.052
1,460, 148,914, 422.708
1,470, 149,110, 421.256
1,480, 149,291, 424.658
1,490, 149,551, 426.004
1,500, 149,806, 427.008

